airport_id,airport_name
196,TRI-CITIES REGIONAL TN/VA ARPT
197,ALLEGHENY COUNTY ARPT
198,JACKSONVILLE INTL
199,PIERRE REGIONAL ARPT
200,NEWPORT NEWS/WILLIAMSBURG INTL
201,MANLEY HOT SPRINGS ARPT
202,RICHMOND INTL
203,KISSIMMEE GATEWAY ARPT
204,VERO BEACH MUNICIPAL
205,WAYNE MUNICIPAL ARPT
206,ROCK SPRINGS-SWEETWATER CO
207,LA CROSSE MUNICIPAL AIRPORT
208,RICHARD LLOYD JONES JR ARPT
209,BUTLER COUNTY REGIONAL
210,SPRINGFIELD-BRANSON NATIONAL
211,ABRAHAM LINCOLN CAPITAL ARPT
212,SHEPPARD AIR FORCE BASE
213,BUCHOLZ AAF MARSHALL
214,CENTRAL NEBRASKA REGIONAL
215,TAMPA INTL
216,WORCESTER REGIONAL
217,MEMORIAL FIELD
218,KAHULUI ARPT
219,OAKLAND COUNTY INTL
220,JOHN C TUNE ARPT
221,FORT LAUDERDALE EXECUTIVE ARPT
222,MELBOURNE INTL
223,BISMARCK MUNICIPAL ARPT
224,MINOT INTL AIRPORT
225,SLIDELL AIRPORT
226,GREAT FALLS INTL
227,BRAINERD-CROW WING
228,BLUE GRASS ARPT
229,ROGUE VALLEY INTL
230,STUTTGART MUNICIPAL ARPT
231,LAWTON-FORT SILL REGIONAL ARPT
232,YAMPA VALLEY
233,COLONEL JAMES JABARA ARPT
234,MIDLAND INTL
235,MALCOLM MCKINNON ARPT
236,MILLARD ARPT
237,ROCK COUNTY
238,MARTIN STATE ARPT
239,BUCHANAN FLD
240,BOIRE FIELD
241,VALDOSTA REGIONAL
242,MANASSAS REGIONAL ARPT
243,ERIE INTL
244,CINCINNATI MUNI ARPT-LUNKEN FIELD
245,SACRAMENTO MATHER ARPT
246,LUIS MUNOZ MARIN INTL -SAN JUAN
247,MOLOKAI ARPT
248,MCGHEE TYSON ARPT
249,ST. PETERSBURG/CLEARWATER INTL
250,GRANT COUNTY ARPT
251,TORONTO/LESTER B. PEARSON INTL
252,DANE COUNTY REGIONAL ARPT-TRUAX FLD
253,EDWARD G PITKA SR ARPT
254,UNIV OF ILLINOIS -WILLARD ARPT
255,ELKO REGIONAL ARPT
256,DEKALB-PEACHTREE ARPT
257,CHICAGO EXECUTIVE ARPT
258,FLORENCE REGIONAL
259,NORWOOD MEMORIAL ARPT
260,LIVERMORE MUNICIPAL ARPT
261,ROCKY MOUNT WILSON RGNL ARPT
262,TULSA INTL
263,BATON ROUGE METRO
264,WILLOUGHBY LOST NATION MUNI ARPT
265,WILKES-BARRE/SCRANTON INTL
266,HENDERSON FIELD
267,FALLS INTL ARPT
268,LUBBOCK INTL
269,AUGUSTA STATE
270,WILMINGTON INTL
271,JUNEAU INTL ARPT
272,RENO TAHOE INTL
273,ST AUGUSTINE
274,MONTGOMERY REGIONAL ARPT
275,PORTLAND-HILLSBORO ARPT
276,PANGBORN MEMORIAL
277,TRI-CITIES
278,PURDUE UNIV ARPT
279,DAYTONA BEACH INTL
280,EASTERWOOD FIELD AIRPORT
281,HENRY E ROHLSEN ARPT
282,IMPERIAL COUNTY ARPT
283,KLAMATH FALLS INTL
284,FAIRBANKS INTL ARPT
285,EUGENIO MARIA DE HOSTOS ARPT
286,MISSOULA INTL ARPT
287,DUBUQUE REGIONAL ARPT
288,SAND POINT ARPT
289,MONETT MUNICIPAL ARPT
290,WATERBURY-OXFORD ARPT
291,AKRON-CANTON MUNICIPAL
292,READING REGIONAL
293,COLUMBUS METRO
294,NANTUCKET MEMORIAL
295,ROCKY MOUNTAIN METROPOLITAN ARPT
296,COLUMBIA METRO
297,WILLIAMSPORT
298,BUSH FLD
299,INDIANAPOLIS METROPOLITAN ARPT
300,BISHOP INTL FLINT
301,BELLINGHAM INTL
302,BETZ ARPT
303,NOGALES INTL ARPT
304,GANDER INTL
305,GOSHEN MUNICIPAL ARPT
306,ADAMS COUNTY- LEGION FIELD
307,HAMILTON MUNICIPAL ARPT
308,FALCON FIELD ARPT
309,KAPALUA ARPT
310,BROWNSVL/SO PADRE IS
311,GUAM INTL ARPT
312,CHESTER COUNTY G O CARLSON ARPT
313,SNOHOMISH CO (PAINE FIELD)
314,ST. LUCIE COUNTY INTL ARPT
315,MEACHAM FT WORTH
316,GRAND JUNCTION REGIONAL ARPT
317,IDAHO FALLS REGIONAL ARPT
318,MBS INTL
319,REPUBLIC AIRPORT
320,CAPITAL CITY ARPT (PA)
321,GREENVILLE-SPARTANBURG INTL
322,ASHEVILLE REGIONAL ARPT
323,ST LOUIS DOWNTOWN
324,MOBILE DOWNTOWN ARPT
325,PULLMAN-MOSCOW REGIONAL
326,MCNARY FLD ARPT
327,BOWMAN FIELD
328,PIEDMONT TRIAD INTL
329,FLOYD BENNETT MEMORIAL
330,WEST BEND MUNICIPAL ARPT
331,GREATER ROCKFORD
332,GRAND CANYON WEST
333,KEY WEST INTL ARPT
334,EPHRAIM- FISH CREEK
335,NUT TREE AIRPORT
336,SACRAMENTO EXECUTIVE ARPT
337,MONTEREY PENINSULA
338,JOE FOSS FIELD ARPT
339,CHEYENNE REGIONAL ARPT
340,TRI-STATE MILTON FERGUSON
341,CYRIL E KING ARPT
342,LONG BEACH-DAUGH FLD
343,ABILENE REGIONAL ARPT
344,TEXARKANA-WEBB FIELD
345,HAMILTON
346,WILL ROGERS WORLD ARPT
347,LEBANON MUNICIPAL ARPT
348,GRAND FORKS INTL
349,HILTON HEAD ISLAND
350,WILLOW RUN ARPT
351,GROSSE ILE MUNICIPAL ARPT
352,LAKELAND LINDER REGIONAL
353,SOUTH BEND REGIONAL
354,OUTAGAMIE COUNTY REGIONAL
355,MAHLON SWEET FLD
356,QUONSET STATE ARPT
357,SOUTHWEST GEORGIA REGIONAL ARPT
358,EASTERN WEST VIRGINIA REGIONAL ARPT
359,BOEING FIELD K C INT
360,SAIPAN INTL
361,WILLIAMSON COUNTY REGIONAL
362,CENTENNIAL ARPT
363,WALLA WALLA REGIONAL
364,JIM HOGG COUNTY AROT
365,HAWTHORNE MUNICIPAL ARPT
366,PETALUMA MUNICIPAL ARPT
367,SONOMA COUNTY ARPT
368,LANAI ARPT
369,TUCSON INTL
370,JOHNSON COUNTY EXECUTIVE ARPT
371,ROSWELL INTL AIR CENTER
372,ALBERT J ELLIS
373,HECTOR INTERNATIONAL
374,SCHENECTADY COUNTY
375,DILLANT-HOPKINS ARPT
376,SALISBURY-WICOMICO
377,CORPUS CHRISTI INTL ARPT
378,MONROE REGIONAL ARPT
379,BARNSTABLE MUNICIPAL
380,ROBERTSON FIELD
381,MODESTO CITY-COUNTY
382,YELLOWSTONE ARPT
383,DEER PARK ARPT
384,ZELIENOPLE MUNICIPAL
385,LORAIN COUNTY REGIONAL ARPT
386,CECIL ARPT
387,BOLTON FIELD ARPT
388,ST LOUIS REGIONAL
389,EASTON/NEWMAN FIELD ARPT
390,CHERRY CAPITAL ARPT
391,ST. PAUL DOWNTOWN ARPT
392,OSCEOLA MUNICIPAL ARPT
393,YELLOWSTONE REGIONAL
394,DURANGO-LA PLATA CO
395,SELAWICK ARPT
396,WALLOPS FLIGHT FACILITY
397,OHIO STATE UNIVERSITY
398,SHEBOYGAN COUNTY MEMORIAL ARPT
399,SITKA (SPB)
400,THIEF RIVER FALLS REGIONAL
401,YAKUTAT ARPT
402,MARSHALL ISLANDS INTL ARPT
403,SYRACUSE HANCOCK INTL
404,MERCEDITA ARPT
405,ORMOND BEACH MUNICIPAL ARPT
406,MONTROSE REGIONAL ARPT
407,HELENA REGIONAL
408,MOBILE REGIONAL
409,PALM SPRINGS INTL
410,DE KALB TAYLOR MUNICIPAL ARPT
411,EVANSTON-UINTA COUNTY BURNS FIELD
412,JESSE VIERTEL MEMORIAL ARPT
413,MCCLELLAN-PALOMAR
414,MC CLELLAN AIRFIELD
415,WAYNE COUNTY
416,CHINO AIRPORT
417,MIDDLE GEORGIA REGIONAL
418,COMPTON/WOODLEY ARPT
419,YOUNGSTOWN-WARREN RGNL ARPT
420,RANGE REGIONAL ARPT
421,EL MONTE ARPT
422,ALLENTOWN QUEEN CITY MUNICIPAL
423,SUGAR LAND REGIONAL ARPT
424,NORTHEASTERN REGIONAL
425,LINDEN AIRPORT
426,ELMIRA/CORNING MUNICIPAL
427,MANHATTAN REGIONAL
428,SCOTT CITY MUNICIPAL ARPT
429,CHILLICOTHE MUNICIPAL ARPT
430,PLYMOUTH MUNICIPAL ARPT (MA)
431,BOISE AIR TERMINAL/GOWEN FIELD
432,ANOKA COUNTY-BLAINE
433,HAGERSTOWN REGIONAL
434,USAF ACADEMY BULLSEYE AUX AIRSTRIP
435,GLASGOW INTL/WOKAL FIELD
436,MONMOUTH EXECUTIVE ARPT
437,QUEBEC/JEAN LESAGE INTL
438,ELK GROVE ARPT
439,LAKE CHARLES REGIONAL
440,WINDHAM ARPT
441,HUNTINGBURG ARPT
442,DUTCHESS COUNTY ARPT
443,FERANDINA BEACH MUNICIPAL ARPT
444,HOBBY FIELD ARPT
445,CAPE MAY COUNTY ARPT
446,SALINA MUNICIPAL
447,BETHEL ARPT
448,GLADEWATER MUNICIPAL ARPT
449,OCONEE COUNTY REGIONAL ARPT
450,KETCHIKAN INTL ARPT
451,TWEED-NEW HAVEN ARPT
452,GALLATIN FIELD ARPT
453,PINAL AIRPARK
454,MARTHAS VINEYARD
455,BROOKINGS MUNICIPAL ARPT
456,EAST HAMPTON ARPT
457,NATRONA COUNTY INTL
458,FINDLAY ARPT
459,ROGERS MUNICIPAL ARPT-CARTER FIELD
460,FULLERTON MUNICIPAL ARPT
461,ST CLAIR COUNTY INTL ARPT
462,KINGS LAND O' LAKES ARPT
463,RAPID CITY REGIONAL
464,AURORA MUNICIPAL ARPT
465,NORTH CENTRAL WEST VIRGINIA ARPT
466,KONGIGANAK ARPT
467,WESTERLY STATE ARPT
468,CAPE GIRARDEAU MUNICIPAL
469,KALAELOA ARPT JOHN RODGERS FIELD
470,ERNEST A LOVE FIELD
471,KENDALL-TAMIAMI EXECUTIVE ARPT
472,GRAND RAPIDS/ITASCA COUNTY ARPT
473,ADDINGTON FIELD ARPT
474,WILLMAR MUNICIPAL
475,MC ALLEN MILLER INTL
476,PALESTINE MUNICIPAL ARPT
477,WHEELER-SACK ARMY AIRFIELD
478,CLEVELAND MUNICIPAL ARPT
479,DEMOPOLIS MUNICIPAL ARPT
480,NEW CENTURY AIRCENTER ARPT
481,FORT DODGE REGIONAL
482,ARNOLD PALMER REGIONAL
483,BRANSON ARPT
484,LAREDO INTL
485,WENDOVER ARPT
486,ALTOONA-BLAIR COUNTY
487,REDDING MUNICIPAL
488,BILLINGS LOGAN INTL
489,PHOENIX-MESA GATEWAY
490,COLD BAY ARPT
491,DELTA COUNTY ARPT
492,BOWERMAN ARPT
493,KEY FLD
494,BELLEVILLE MUNICIPAL
495,MONROE COUNTY
496,COLUMBIA REGIONAL
497,FORT WORTH SPINKS ARPT
498,PUNTA GORDA ARPT
499,DULUTH INTL ARPT
500,WILLIAM B HEILIG FIELD
501,PHOENIX GOODYEAR ARPT
502,JAMES CLEMENTS MUNICIPAL ARPT
503,ALEXANDRIA INTL
504,GARY CHICAGO INTL
505,GREENVILLE DOWNTOWN ARPT
506,RIO VISTA MUNICIPAL ARPT
507,ELIZABETHTON MUNICIPAL ARPT
508,CAPE COD COAST GUARD AIR STATION
509,PRYOR FIELD REGIONAL ARPT
510,CHARLES B WHEELER DOWNTOWN ARPT
511,BARKLEY REGIONAL ARPT
512,JACQUELINE COCHRAN REGIONAL ARPT
513,BARROW COUNTY ARPT
514,HAYWARD EXECUTIVE ARPT
515,TUPELO MUNICIPAL
516,MIDDLETON MUNI MOREY FIELD
517,WACO REGIONAL ARPT
518,CHESTERFIELD COUNTY ARPT
519,CASTLE ARPT
520,SKAGIT REGIONAL
521,MERRILL FIELD ARPT
522,GRAND CANYON NATIONAL
523,REID-HILLVIEW ARPT OF SANTA CLARA CNTY
524,BERZ-MACOMB ARPT
525,FLYING CLOUD ARPT
526,SOUTHWEST MINNESOTA REGIONAL ARPT
527,BEMIDJI REGIONAL ARPT
528,SPENCER MUNICIPAL AIRPORT
529,GREATER PORTSMOUTH REGIONAL ARPT
530,TOMPKINS COUNTY ARPT
531,GREGG COUNTY ARPT
532,GREENBRIER VALLEY ARPT
533,WILEY POST ARPT
534,LIMA ALLEN COUNTY
535,MERLE K (MUDHOLE) SMITH ARPT
536,SOUTHWEST MICHIGAN REGIONAL
537,TACOMA NARROWS ARPT
538,MATHIS FIELD (TX)
539,GREENWOOD MUNICIPAL ARPT
540,FAIRMONT MUNICIPAL ARPT
541,NAPLES MUNICIPAL
542,HOUSTON GULF ARPT
543,MORAN FIELD ARPT
544,MASON COUNTY ARPT (MI)
545,ASHTABULA COUNTY
546,COLEMAN A YOUNG MUNICIPAL ARPT
547,MANSFIELD LAHM MUNICIPAL
548,HERLONG ARPT
549,CAPT FEAR REGIONAL JETPORT
550,CARRABELLE-THOMPSON
551,FRANCIS S GABRESKI ARPT
552,HAWKINS ARPT
553,CUBA MUNICIPAL ARPT
554,PAGE FIELD ARPT
555,MERRILL C MEIGS ARPT
556,DECATUR ARPT
557,TERRE HAUTE INTL ARPT-HULMAN FIELD
558,CHARLOTTESVILLE-ALBEMARLE ARPT
559,ELKHART MUNICIPAL ARPT
560,KINSTON REGL JETPORT
561,MT PLEASANT MUNICIPAL ARPT
562,LIBERAL MUNICIPAL
563,NORFOLK REGIONAL ARPT
564,ESSEX COUNTY AIRPORT
565,DANVILLE REGIONAL ARPT
566,COLUMBUS MUNICIPAL ARPT (NE)
567,SAN LUIS COUNTY REGIONAL ARPT
568,PALMDALE REGIONAL ARPT
569,STOCKTON METRO
570,GUNNISON COUNTY
571,LLANO MUNICIPAL ARPT
572,CHARLOTTE-MONROE  EXECUTIVE ARPT
573,W K KELLOGG ARPT
574,FORT WORTH ALLIANCE
575,ALBERT WHITTED
576,STELLAR AIRPARK
577,DESTIN-FORT WALTON BEACH ARPT
578,CALGARY INTL
579,DELAWARE COUNTY REGIONAL ARPT
580,YAKIMA AIR TERMINAL
581,RALEIGH EXEC JETPORT AT SANFORD-LEE CNTY ARPT
582,DAVID'S ARPT
583,BUFFALO AIRFIELD ARPT
584,HAWKINS FIELD ARPT
585,ASHE COUNTY
586,NORTH PLATTE REGIONAL
587,CLARK COUNTY REGIONAL ARPT (IN)
588,KENT STATE UNIVERSITY
589,CORTEZ MUNICIPAL ARPT
590,SANTA MARIA PUBLIC
591,SANTA FE MUNICIPAL
592,MANITOWOC COUNTY ARPT
593,LAKE HAVASU CITY ARPT
594,BARNES MUNICIPAL ARPT
595,RICKENBACKER INTL
596,FORD ARPT
597,PROVO MUNICIPAL ARPT
598,FOUR CORNERS REGIONAL
599,DELAND MUNICIPAL ARPT
600,FORBES FIELD AIRPORT
601,H L SONNY CALLAHAN ARPT
602,WM FAIRCHILD INTL ARPT
603,MID-DELTA REGIONAL
604,ANN ARBOR MUNICIPAL
605,TSTC WACO
606,ST. CLOUD REGIONAL
607,FAYETTVILLE MUNICIPAL
608,BESSEMER ARPT
609,BRENNER FIELD ARPT
610,ANNISTON METROPOLITAN ARPT
611,BLOCK ISLAND STATE
612,CLEARVIEW AIRPARK
613,MUIR ARMY AIRFIELD
614,LAKE IN THE HILLS
615,LOUISA COUNTY ARPT/FREEMAN FLD
616,MEADOW LAKE ARPT
617,JOHN F KENNEDY MEMORIAL
618,TYONEK ARPT
619,PEARLAND REGIONAL ARPT
620,HURON REGIONAL ARPT
621,NORTH LAS VEGAS
622,SOUTHBRIDGE MUNICIPAL ARPT
623,LARAMIE REGIONAL
624,JOHNSTON ATOLL ARPT
625,ROSEAU MUNI ARPT/RUDY BILLBERG FLD
626,GAINESVILLE MUNICIPAL ARPT
627,LITCHFIELD MUNICIPAL
628,GRIFFING SANDUSKY ARPT
629,PUT IN BAY
630,WALDRONAIRE ARPT
631,SANTA MONICA MUNICIPAL
632,GREATER KANKAKEE ARPT
633,GREELEY-WELD COUNTY ARPT
634,ST. GEORGE  ARPT (AK)
635,WORTHINGTON MUNICIPAL ARPT
636,BEAVER COUNTY ARPT
637,OHIO UNIVERSITY ARPT
638,WINGS FIELD ARPT
639,RIVERTON REGIONAL
640,GILLETTE CAMPBELL CO
641,EMMONAK ARPT
642,BANGOR INTL
643,CHESTER ARPT
644,LYNCHBURG REGIONAL
645,SPACE COAST REGIONAL
646,SIDNEY MUNICIPAL AR[T
647,PAGO PAGO INTL
648,GNOSS FIELD ARPT
649,SCOTTSDALE ARPT
650,GARDEN CITY REGIONAL
651,PAGE MUNICIPAL
652,MILLVILLE MUNICIPAL ARPT
653,ROSTRAVER
654,MCCORD FIELD ARPT
655,DYERSBURG REGIONAL ARPT
656,ARCATA AIRPORT
657,ORCAS ISLAND ARPT
658,OLYMPIA ARPT
659,ATHENS/BEN EPPS ARPT
660,SAWYER INTL
661,BIG PINEY-MARBLETON
662,DEADHORSE ARPT
663,OGDEN-HINCKLEY ARPT
664,MIDDLE BASS-EAST POINT
665,MEADOWS FIELD ARPT
666,NEWTOK ARPT
667,LT WARREN EATON ARPT
668,DAVID WAYNE HOOKS MEMORIAL ARPT
669,HOUSTON-SOUTHWEST ARPT
670,MANKATO REGIONAL ARPT
671,PETERSBURG JAMES A JOHNSON ARPT
672,MUSKEGON COUNTY ARPT
673,CREVE COEUR ARPT
674,FLAGSTAFF PULLIAM
675,ADIRONDAK REGIONAL ARPT
676,OCEAN CITY MUNICIPAL  ARPT (MD)
677,AUBURN-LEWISTON MUNICIPAL
678,CARROLL COUNTY-TOLSON ARPT
679,MIAMI COUNTY ARPT
680,CAMARILLO
681,RYAN FIELD ARPT
682,MANDAN MUNICIPAL
683,CHICO MUNICIPAL ARPT
684,DUBOIS REGIONAL ARPT
685,LEESBURG EXECUTIVE ARPT
686,PORTLAND-TROUTDALE ARPT
687,HOUSTON MEMORIAL ARPT
688,SHREVEPORT DOWNTOWN ARPT
689,LENAWEE COUNTY ARPT
690,DOUBLE EAGLE II ARPT
691,CEDAR MILLS
692,PRICE COUNTY ARPT
693,HATTIESBURG-LAUREL
694,SOUTHERN ILLINOIS
695,ROLLA NATIONAL ARPT
696,RUTLAND STATE ARPT
697,ALBERT LEA MUNICIPAL ARPT
698,MOUNT HAWLEY
699,FRENCH LICK MUNICIPAL ARPT
700,QUINCY REGIONAL ARPT - BALDWIN FLD
701,SPRINGFIELD BECKLEY MUNICIPAL
702,ANDERSON REGIONAL
703,OCEAN REEF CLUB
704,MANSFIELD MUNICIPAL
705,CHIPPEWA COUNTY INTL ARPT
706,CHEFORNAK ARPT
707,MARCO ISLAND ARPT
708,SALINAS MUNICIPAL ARPT
709,SUNDANCE AIRPARK
710,HUSLIA ARPT
711,JASPER COUNTY ARPT-BELL FIELD
712,LAWRENCE MUNICIPAL ARPT (MA)
713,JACK MCNAMARA FLD
714,COLLIN COUNTY RGNL ARPT AT MCKINNEY
715,NORTHAMPTON ARPT
716,FAIRMONT MUNI-FRANKMAN FLD
717,KONA INTL ARPT
718,BRANDYWINE ARPT
719,SKYHAVEN
720,WINONA MUNICIPAL ARPT
721,CROOKSTON MUNI ARPT-KIRKWOOD FIELD
722,SOUTH VALLEY REGIONAL ARPT
723,KICKAPOO DOWNTOWN ARPT
724,LAKE HOOD (SPB)
725,CLINTON COUNTY ARPT
726,MADISONVILLE MUNICIPAL
727,MASSEY RANCH AIRPARK
728,ROBT J MILLER AIR PARK
729,PETER O KNIGHT ARPT
730,PALM BEACH COUNTY PARK ARPT
731,VENANGO REGIONAL
732,FRIEDMAN MEMORIAL
733,SOUTHWEST WASHINGTON REGIONAL ARPT
734,RIVERSIDE MUNICIPAL ARPT
735,ISLESBORO
736,IOWA FALLS MUNICIPAL ARPT
737,FELTS FIELD ARPT
738,DENTON MUNICIPAL ARPT
739,MARIANNA MUNICIPAL ARPT
740,MCCOOK MUNICIPAL ARPT
741,HANCOCK COUNTY-BAR HARBOR
742,FERGUS FALLS MUNICIPAL ARPT
743,ANKENY REGIONAL
744,BAUDETTE INTL ARPT
745,DALLAS EXECUTIVE ARPT
746,MURFREESBORO MUNICIPAL ARPT
747,SPRINGERVILLE MUNICIPAL
748,LAUGHLIN BULLHEAD INTL
749,UNIV OF OKLAHOMA WESTHEIMER ARPT
750,HEMET-RYAN ARPT
751,OGDENSBURG INTL ARPT
752,EGLIN AFB/NW FLORIDA REGIONAL ARPT
753,PINE MOUNTAIN LAKE ARPT
754,FRONT RANGE ARPT
755,HARTFORD-BRAINARD ARPT
756,FRANKLIN FIELD ARPT
757,PETER PRINCE FIELD ARPT
758,WEST BRANCH COMMUNITY ARPT
759,KINGMAN
760,PONCA CITY MUNICIPAL ARPT
761,KNOXVILLE DOWNTOWN ISLAND ARPT
762,ONA AIRPARK ARPT
